sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,18,7,49,1,483,0.0,93.06654257794322,200.45899346352957
post login,4000,34,11,102,3,606,0.0,93.07087347014752,284.7835575032575
ajax post search,4000,35,12,104,4,669,0.0,93.07303906740815,379.7233885639412
get view hotel,4000,28,8,85,2,507,0.0,93.07953646390841,262.58205361090427
post book hotel,4000,35,12,106,5,565,0.0,93.0752047654505,602.3301432049284
ajax post cc number,4000,28,11,76,4,528,0.0,93.07953646390841,68.33251464548331
ajax post cc name,4000,25,10,69,4,495,0.0,93.08170246433806,60.51669616677914
post booking details,4000,26,10,75,4,569,0.0,93.08170246433806,307.76771806570406
post confirm booking,4000,45,14,135,5,939,0.0,93.08170246433806,692.6155394811859
cancel booking,4000,44,14,129,5,758,0.0,93.07953646390841,614.1045357730837
get logout,4000,44,21,116,3,515,0.0,93.07953646390841,208.31616118903293
TOTAL,44000,33,11,97,1,939,0.0,1022.4711268096578,3676.5680054042828
