sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,18,1,483,34.02164542519218,0.0,93.06654257794322,200.45899346352957,2205.62625
post login,4000,34,3,606,56.78164410925418,0.0,93.07087347014752,284.7835575032575,3133.2935
ajax post search,4000,35,4,669,57.98613836459106,0.0,93.07303906740815,379.7233885639412,4177.75925
get view hotel,4000,28,2,507,49.79697524699668,0.0,93.07953646390841,262.58205361090427,2888.7555
post book hotel,4000,35,5,565,54.50100065079081,0.0,93.0752047654505,602.3301432049284,6626.7495
ajax post cc number,4000,28,4,528,42.728280060605066,0.0,93.07953646390841,68.33251464548331,751.7495
ajax post cc name,4000,25,4,495,41.50388220094597,0.0,93.08170246433806,60.51669616677914,665.7495
post booking details,4000,26,4,569,42.61595369620983,0.0,93.08170246433806,307.76771806570406,3385.77975
post confirm booking,4000,45,5,939,73.64211674714409,0.0,93.08170246433806,692.6155394811859,7619.5245
cancel booking,4000,44,5,758,66.2858497904153,0.0,93.07953646390841,614.1045357730837,6755.97525
get logout,4000,44,3,515,54.50696779082468,0.0,93.07953646390841,208.31616118903293,2291.75775
TOTAL,44000,33,1,939,54.05082588491048,0.0,1022.4711268096578,3676.5680054042828,3682.065477272727
