sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,40,34,83,3,304,0.0,44.449877207214215,99.95796361221926
post login,4000,110,102,200,7,440,0.0,44.45580537248408,151.37440505629215
ajax post search,4000,61,58,111,6,349,0.0,44.45778177897814,165.06688117546375
get view hotel,4000,74,71,134,5,371,0.0,44.459758361213304,128.03889395236138
post book hotel,4000,63,60,111,7,405,0.0,44.45877004812662,300.921616409732
ajax post cc number,4000,42,36,87,4,331,0.0,44.459758361213304,40.98633973924352
ajax post cc name,4000,62,58,112,6,396,0.0,44.45877004812662,37.46867046048171
post booking details,4000,189,164,338,21,844,0.0,44.45135910030449,149.7194702509279
post confirm booking,4000,64,57,121,7,367,0.0,44.45827590806029,320.2385403583893
cancel booking,4000,47,43,92,6,303,0.0,44.459264199177504,285.62039125889186
get logout,4000,83,78,142,7,392,0.0,44.46025253423439,103.6826982927263
TOTAL,44000,76,62,149,3,844,0.0,488.47097483264315,1781.0294313302786
