sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,40,3,304,33.23744406163025,0.0,44.449877207214215,99.95796361221926,2302.75
post login,4000,110,7,440,67.17785550127364,0.0,44.45580537248408,151.37440505629215,3486.775
ajax post search,4000,61,6,349,39.620004731669326,0.0,44.45778177897814,165.06688117546375,3802.0
get view hotel,4000,74,5,371,46.57068644477445,0.0,44.459758361213304,128.03889395236138,2949.0
post book hotel,4000,63,7,405,40.13318993598067,0.0,44.45877004812662,300.921616409732,6931.0
ajax post cc number,4000,42,4,331,34.247613216106025,0.0,44.459758361213304,40.98633973924352,944.0
ajax post cc name,4000,62,6,396,41.43774474739185,0.0,44.45877004812662,37.46867046048171,863.0
post booking details,4000,189,21,844,107.20435844568078,0.0,44.45135910030449,149.7194702509279,3449.0
post confirm booking,4000,64,7,367,43.48568635122941,0.0,44.45827590806029,320.2385403583893,7376.0005
cancel booking,4000,47,6,303,33.636932525871025,0.0,44.459264199177504,285.62039125889186,6578.50025
get logout,4000,83,7,392,46.18385169014706,0.0,44.46025253423439,103.6826982927263,2388.0
TOTAL,44000,76,3,844,66.46030412951092,0.0,488.47097483264315,1781.0294313302786,3733.6387045454544
