sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,12,5,33,1,276,0.0,151.72780032621478,341.3505078139817
post login,4000,17,6,47,2,281,0.0,151.7393118622207,516.6805069515572
ajax post search,4000,19,7,55,3,254,0.0,151.7393118622207,628.740136944729
get view hotel,4000,15,6,41,2,264,0.0,151.75082514511175,438.65472893508854
post book hotel,4000,18,7,48,3,260,0.0,151.74506828528072,1029.6139984825493
ajax post cc number,4000,15,5,43,2,254,0.0,151.75082514511175,140.1916802610114
ajax post cc name,4000,14,5,37,2,278,0.0,151.75082514511175,128.18795288136877
post booking details,4000,15,7,36,3,284,0.0,151.7393118622207,514.9356530480634
post confirm booking,4000,21,9,57,4,271,0.0,151.7393118622207,1165.4587535800993
cancel booking,4000,21,9,60,3,377,0.0,151.7393118622207,1041.948251263704
get logout,4000,27,12,74,3,290,0.0,151.73355587588193,353.9955712768379
TOTAL,44000,18,7,49,1,377,0.0,1666.414179669747,6289.445039991573
