sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,12,1,276,23.96838791903828,0.0,151.72780032621478,341.3505078139817,2303.75
post login,4000,17,2,281,28.35615625838594,0.0,151.7393118622207,516.6805069515572,3486.775
ajax post search,4000,19,3,254,30.92715544226465,0.0,151.7393118622207,628.740136944729,4243.0
get view hotel,4000,15,2,264,27.550593346605076,0.0,151.75082514511175,438.65472893508854,2960.0
post book hotel,4000,18,3,260,29.603627205969204,0.0,151.74506828528072,1029.6139984825493,6948.0
ajax post cc number,4000,15,2,254,27.33968776225325,0.0,151.75082514511175,140.1916802610114,946.0
ajax post cc name,4000,14,2,278,25.57872690220332,0.0,151.75082514511175,128.18795288136877,865.0
post booking details,4000,15,3,284,26.229383998437708,0.0,151.7393118622207,514.9356530480634,3475.0
post confirm booking,4000,21,4,271,31.872271455765432,0.0,151.7393118622207,1165.4587535800993,7865.0005
cancel booking,4000,21,3,377,31.818800534236043,0.0,151.7393118622207,1041.948251263704,7031.50025
get logout,4000,27,3,290,36.70263357035841,0.0,151.73355587588193,353.9955712768379,2389.0
TOTAL,44000,18,1,377,29.553979137136952,0.0,1666.414179669747,6289.445039991573,3864.820522727273
