sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,15,5,40,1,279,0.0,135.83265417006248,310.36567636172236
post login,4000,20,8,55,3,284,0.0,135.8418800516199,472.10027996162466
ajax post search,4000,22,8,67,3,314,0.0,135.8418800516199,567.6439499422672
get view hotel,4000,17,6,51,2,315,0.0,135.85110718652356,397.47062219807094
post book hotel,4000,20,8,56,3,389,0.0,135.8464934623875,926.5155374426897
ajax post cc number,4000,18,6,50,2,313,0.0,135.85110718652356,130.2790891183263
ajax post cc name,4000,16,6,42,2,263,0.0,135.85110718652356,119.53305427251732
post booking details,4000,17,7,44,3,321,0.0,135.85110718652356,465.2635086944709
post confirm booking,4000,25,10,68,4,303,0.0,135.8418800516199,1052.9072948150852
cancel booking,4000,27,10,76,4,347,0.0,135.8418800516199,942.3367469796407
get logout,4000,31,14,90,3,315,0.0,135.8372669541889,321.68493394912895
TOTAL,44000,21,8,59,1,389,0.0,1491.9806042521445,5697.318905291021
