sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,15,1,279,28.660102494582954,0.0,135.83265417006248,310.36567636172236,2339.75
post login,4000,20,3,284,31.775398722911408,0.0,135.8418800516199,472.10027996162466,3558.775
ajax post search,4000,22,3,314,34.70859979529569,0.0,135.8418800516199,567.6439499422672,4279.0
get view hotel,4000,17,2,315,30.01625009474035,0.0,135.85110718652356,397.47062219807094,2996.0
post book hotel,4000,20,3,389,31.472065390398196,0.0,135.8464934623875,926.5155374426897,6984.0
ajax post cc number,4000,18,2,313,31.07486964473866,0.0,135.85110718652356,130.2790891183263,982.0
ajax post cc name,4000,16,2,263,28.868417724868465,0.0,135.85110718652356,119.53305427251732,901.0
post booking details,4000,17,3,321,28.495666179263118,0.0,135.85110718652356,465.2635086944709,3507.0
post confirm booking,4000,25,4,303,36.46680555998839,0.0,135.8418800516199,1052.9072948150852,7937.0005
cancel booking,4000,27,4,347,39.54899523376036,0.0,135.8418800516199,942.3367469796407,7103.50025
get logout,4000,31,3,315,41.19289555251002,0.0,135.8372669541889,321.68493394912895,2425.0
TOTAL,44000,21,1,389,33.56072721337237,0.0,1491.9806042521445,5697.318905291021,3910.2750681818184
