sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,13,5,34,1,267,0.0,141.24792542109537,317.77334784067233
post login,4000,19,7,54,2,374,0.0,141.25790161387152,480.9907420895575
ajax post search,4000,21,8,59,3,315,0.0,141.25790161387152,585.3098403785712
get view hotel,4000,15,6,40,2,259,0.0,141.26787921596326,408.35246335864383
post book hotel,4000,20,8,53,3,315,0.0,141.2628902387343,958.4907825964119
ajax post cc number,4000,16,6,44,2,287,0.0,141.26787921596326,130.50723997880982
ajax post cc name,4000,15,6,39,2,269,0.0,141.26787921596326,119.33273000176584
post booking details,4000,17,7,41,3,295,0.0,141.26787921596326,479.400273706516
post confirm booking,4000,24,9,65,4,335,0.0,141.2628902387343,1084.9928733975491
cancel booking,4000,23,9,66,4,320,0.0,141.26787921596326,970.0440703359526
get logout,4000,30,13,83,3,384,0.0,141.26787921596326,329.57906586614865
TOTAL,44000,19,7,54,1,384,0.0,1551.5356676892698,5855.866103739112
