sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,13,1,267,25.59712850594769,0.0,141.24792542109537,317.77334784067233,2303.75
post login,4000,19,2,374,32.85573780844831,0.0,141.25790161387152,480.9907420895575,3486.775
ajax post search,4000,21,3,315,34.72480254713481,0.0,141.25790161387152,585.3098403785712,4243.0
get view hotel,4000,15,2,259,27.06027434727889,0.0,141.26787921596326,408.35246335864383,2960.0
post book hotel,4000,20,3,315,32.15674851314262,0.0,141.2628902387343,958.4907825964119,6948.0
ajax post cc number,4000,16,2,287,29.705471819178364,0.0,141.26787921596326,130.50723997880982,946.0
ajax post cc name,4000,15,2,269,27.391300644547716,0.0,141.26787921596326,119.33273000176584,865.0
post booking details,4000,17,3,295,29.05730372901106,0.0,141.26787921596326,479.400273706516,3475.0
post confirm booking,4000,24,4,335,36.977077898848364,0.0,141.2628902387343,1084.9928733975491,7865.0005
cancel booking,4000,23,4,320,34.969373167816435,0.0,141.26787921596326,970.0440703359526,7031.50025
get logout,4000,30,3,384,40.156033848445496,0.0,141.26787921596326,329.57906586614865,2389.0
TOTAL,44000,19,1,384,32.51055719783242,0.0,1551.5356676892698,5855.866103739112,3864.820522727273
