sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,3,2,6,1,190,0.0,128.32028743744385,208.52046708584626
post login,4000,9,6,16,3,245,0.0,128.32440409354848,432.1894499294216
ajax post search,4000,5,4,11,2,238,0.0,128.34087335964324,286.0102369393108
get view hotel,4000,7,5,12,2,260,0.0,128.33263819820976,333.23875485257787
post book hotel,4000,178,183,285,8,540,0.0,128.316171045456,1230.657339684984
ajax post cc number,4000,4,3,8,1,203,0.0,128.3449913367131,150.15361291150612
ajax post cc name,4000,3,2,6,1,191,0.0,128.3491095780523,152.79059040590406
post booking details,4000,8,5,14,2,209,0.0,128.3449913367131,346.3058701790413
post confirm booking,4000,5,3,9,1,257,0.0,128.3491095780523,21.308553014198623
get confirm booking,4000,6,4,12,2,262,0.0,128.3449913367131,747.634704585927
cancel booking,4000,11,7,19,4,291,0.0,128.3449913367131,684.2768674697587
get logout,4000,4,2,7,1,264,0.0,128.31205491755952,208.63239398216461
TOTAL,48000,20,4,26,1,540,0.0,1537.2790161414296,4793.273659935066
