sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,3,1,190,6.345314171693944,0.0,128.32028743744385,208.52046708584626,1664.0
post login,4000,9,3,245,13.087933030085384,0.0,128.32440409354848,432.1894499294216,3448.775
ajax post search,4000,5,2,238,8.101814549840054,0.0,128.34087335964324,286.0102369393108,2282.00475
get view hotel,4000,7,2,260,13.467266797683932,0.0,128.33263819820976,333.23875485257787,2659.0
post book hotel,4000,178,8,540,87.49235433882211,0.0,128.316171045456,1230.657339684984,9821.0
ajax post cc number,4000,4,1,203,8.469672628708857,0.0,128.3449913367131,150.15361291150612,1198.0
ajax post cc name,4000,3,1,191,5.3355924635882745,0.0,128.3491095780523,152.79059040590406,1219.0
post booking details,4000,8,2,209,11.019584698957578,0.0,128.3449913367131,346.3058701790413,2763.0
post confirm booking,4000,5,1,257,11.449112342775749,0.0,128.3491095780523,21.308553014198623,170.00475
get confirm booking,4000,6,2,262,12.97067091556948,0.0,128.3449913367131,747.634704585927,5965.0005
cancel booking,4000,11,4,291,14.734459940900448,0.0,128.3449913367131,684.2768674697587,5459.50025
get logout,4000,4,1,264,9.706669842819421,0.0,128.31205491755952,208.63239398216461,1665.0
TOTAL,48000,20,1,540,55.00427210655752,0.0,1537.2790161414296,4793.273659935066,3192.857104166667
