sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,2,2,3,1,24,0.0,33.34695000458521,54.18879375745096
post login,4000,5,5,7,3,187,0.0,33.34639400431836,106.38199831392295
ajax post search,4000,4,3,5,2,461,0.0,33.34667200213419,74.31357959850607
get view hotel,4000,5,4,7,2,363,0.0,33.34639400431836,77.01584162130167
post book hotel,4000,16,12,20,9,617,0.0,33.34472611475588,310.2296930617961
ajax post cc number,4000,3,2,4,1,449,0.0,33.34695000458521,39.01332627489558
ajax post cc name,4000,2,2,4,1,456,0.0,33.34695000458521,39.69735395859559
post booking details,4000,6,4,7,3,775,0.0,33.34667200213419,80.40325505202081
post confirm booking,4000,379,386,467,2,827,0.0,33.31168074085178,5.530259497992971
get confirm booking,4000,4,4,6,2,28,0.0,33.31140332614362,188.12486532303734
cancel booking,4000,6,6,9,4,31,0.0,33.310016321907995,167.965114849293
get logout,4000,703,719,833,19,1182,0.0,33.300033300033306,54.14538261217948
TOTAL,48000,95,5,434,1,1182,0.0,399.40422203546376,1195.2317610605846
