sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,2,1,66,3.538883642831451,0.0,65.98591200778634,105.93831966875072,1644.0
post login,4000,50,4,982,85.44965008376278,0.0,65.98264656395368,230.02265833773217,3569.775
ajax post search,4000,23,2,654,46.272783307253086,0.0,65.98591200778634,169.15333888714758,2625.0
get view hotel,4000,27,3,767,46.83046025558579,0.0,65.97720487571544,154.18305787850298,2393.0
post book hotel,4000,64,7,798,63.449366427096805,0.0,65.97394029358404,758.8291687283522,11778.0
ajax post cc number,4000,21,2,652,40.778359380313475,0.0,65.97938144329898,94.78092783505154,1471.0
ajax post cc name,4000,17,2,769,31.78714457036838,0.0,65.97938144329898,95.87628865979381,1488.0
post booking details,4000,29,3,642,37.94395577361433,0.0,65.97720487571544,160.49728256387417,2491.0
post confirm booking,4000,16,1,657,29.87720776779517,0.0,65.97938144329898,17.074742268041238,265.0
get confirm booking,4000,21,4,308,27.23670822506824,0.0,65.97720487571544,401.0821614647764,6225.0005
cancel booking,4000,21,5,405,26.646314374599726,0.0,65.97611664577423,373.91836860134754,5803.50025
get logout,4000,230,2,1604,186.77728380011845,0.0,65.97720487571544,105.92434064030877,1644.0
TOTAL,48000,43,1,1604,90.35513689156089,0.0,790.9958307928085,2664.8008239282417,3449.7729791666666
