sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,500,2,2,17,1.3570556362949904,0.0,69.8909700866648,150.53941632303608,2205.612
post login,500,5,3,18,1.405702671264446,0.0,69.92029086841,213.8957291812334,3132.556
ajax post search,500,5,4,19,1.604538562951977,0.0,69.94963626189144,285.38481590130107,4177.778
get view hotel,500,3,2,19,1.561705477995131,0.0,70.03782042302844,197.57929047310546,2888.742
post book hotel,500,7,5,34,2.277552194791592,0.0,70.0280112044818,453.18217130602244,6626.756
ajax post cc number,500,5,4,19,1.608342003430862,0.0,70.05744710662744,51.43174434286115,751.756
ajax post cc name,500,5,4,44,2.488855158501594,0.0,70.08690776562938,45.56716735001402,665.756
post booking details,500,6,4,22,1.8829455648000049,0.0,70.11639321273313,231.8338285303604,3385.768
post confirm booking,500,7,5,22,1.6587416917651765,0.0,70.11639321273313,521.6626787968027,7618.512
cancel booking,500,7,5,30,2.148274656555813,0.0,70.12622720897616,462.62929523141656,6755.424
get logout,500,5,3,18,2.076276474846257,0.0,70.17543859649122,157.05715460526315,2291.778
TOTAL,5500,5,2,44,2.30032089748473,0.0,763.1469404745387,2743.9440116813516,3681.858
