sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,500,2,2,3,1,14,0.0,95.32888465204957,214.46671681363202
post login,500,3,3,5,2,24,0.0,95.36524890329964,324.6516188251001
ajax post search,500,4,4,5,2,28,0.0,95.40164090822361,395.30191638046176
get view hotel,500,3,3,4,2,14,0.0,95.45628102329133,275.92831233295146
post book hotel,500,4,4,6,3,18,0.0,95.54748710108923,648.3046292757501
ajax post cc number,500,2,3,4,2,15,0.0,95.63886763580719,88.35387576511094
ajax post cc name,500,2,3,4,2,16,0.0,95.67546880979717,80.81960988327593
post booking details,500,4,4,5,3,19,0.0,95.73042312847024,324.8664261439786
post confirm booking,500,5,5,6,4,19,0.0,95.74875526618155,735.3205189582535
cancel booking,500,5,5,7,4,18,0.0,95.74875526618155,657.4311506606664
get logout,500,4,4,6,3,32,0.0,95.84052137243626,223.59668511596703
TOTAL,5500,3,4,5,1,32,0.0,1040.4842981460463,3926.8259834350174
