sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,500,2,1,14,1.0036951728488088,0.0,95.32888465204957,214.46671681363202,2303.75
post login,500,3,2,24,1.6090978839088688,0.0,95.36524890329964,324.6516188251001,3486.0
ajax post search,500,4,2,28,1.832218327601817,0.0,95.40164090822361,395.30191638046176,4243.0
get view hotel,500,3,2,14,1.0799999999999998,0.0,95.45628102329133,275.92831233295146,2960.0
post book hotel,500,4,3,18,1.3938206484336497,0.0,95.54748710108923,648.3046292757501,6948.0
ajax post cc number,500,2,2,15,1.1120629478586177,0.0,95.63886763580719,88.35387576511094,946.0
ajax post cc name,500,2,2,16,1.2113116857357558,0.0,95.67546880979717,80.81960988327593,865.0
post booking details,500,4,3,19,1.232835755484078,0.0,95.73042312847024,324.8664261439786,3475.0
post confirm booking,500,5,4,19,1.490206697072588,0.0,95.74875526618155,735.3205189582535,7864.0
cancel booking,500,5,4,18,1.3612112253430757,0.0,95.74875526618155,657.4311506606664,7031.0
get logout,500,4,3,32,2.308592644881293,0.0,95.84052137243626,223.59668511596703,2389.0
TOTAL,5500,3,1,32,1.760906040265813,0.0,1040.4842981460463,3926.8259834350174,3864.6136363636365
