sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,500,2,2,3,1,13,0.0,89.81498113885395,205.21933800745464
post login,500,4,4,5,3,16,0.0,89.87956138774044,312.29636661873093
ajax post search,500,4,4,6,3,20,0.0,89.89572096368214,375.64823242538654
get view hotel,500,3,3,4,2,21,0.0,89.94423457456377,263.1571550638604
post book hotel,500,4,5,6,4,22,0.0,89.91188635137564,613.2271623808667
ajax post cc number,500,3,3,4,2,23,0.0,89.97660608241857,86.28615934856937
ajax post cc name,500,3,3,4,2,15,0.0,90.05763688760807,79.24016683177234
post booking details,500,4,4,6,3,22,0.0,90.13881377321074,308.7078319361817
post confirm booking,500,5,5,7,4,23,0.0,90.20386072523904,699.0799206206026
cancel booking,500,5,5,7,4,17,0.0,90.23641941887746,625.9270382151236
get logout,500,4,4,6,3,20,0.0,90.35056017347308,213.9649496295627
TOTAL,5500,4,4,6,1,23,0.0,980.5669459796756,3744.222280876716
