sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,500,2,1,13,0.9615321107482578,0.0,89.81498113885395,205.21933800745464,2339.75
post login,500,4,3,16,1.2068786185859781,0.0,89.87956138774044,312.29636661873093,3558.0
ajax post search,500,4,3,20,1.9174733374938995,0.0,89.89572096368214,375.64823242538654,4279.0
get view hotel,500,3,2,21,1.2802796569499961,0.0,89.94423457456377,263.1571550638604,2996.0
post book hotel,500,4,4,22,1.5321553446044562,0.0,89.91188635137564,613.2271623808667,6984.0
ajax post cc number,500,3,2,23,1.3577201478949923,0.0,89.97660608241857,86.28615934856937,982.0
ajax post cc name,500,3,2,15,1.2524711573525353,0.0,90.05763688760807,79.24016683177234,901.0
post booking details,500,4,3,22,1.8389333865042516,0.0,90.13881377321074,308.7078319361817,3507.0
post confirm booking,500,5,4,23,1.5250757358242908,0.0,90.20386072523904,699.0799206206026,7936.0
cancel booking,500,5,4,17,1.406639968151054,0.0,90.23641941887746,625.9270382151236,7103.0
get logout,500,4,3,20,1.6596385148579798,0.0,90.35056017347308,213.9649496295627,2425.0
TOTAL,5500,4,1,23,1.7777732473541903,0.0,980.5669459796756,3744.222280876716,3910.068181818182
