sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,500,2,2,3,1,18,0.0,90.05763688760807,202.6076962693624
post login,500,3,4,5,3,14,0.0,90.13881377321074,306.85928204434833
ajax post search,500,4,4,5,3,18,0.0,90.13881377321074,373.49510433567696
get view hotel,500,3,3,4,2,15,0.0,90.18759018759019,260.6985028860029
post book hotel,500,4,5,6,3,16,0.0,90.17132551848513,611.8265329125338
ajax post cc number,500,3,3,4,2,18,0.0,90.18759018759019,83.31783234126985
ajax post cc name,500,3,3,4,2,18,0.0,90.20386072523904,76.19759719465993
post booking details,500,4,4,5,3,21,0.0,90.18759018759019,306.0565194354257
post confirm booking,500,5,5,7,4,21,0.0,90.18759018759019,692.612509018759
cancel booking,500,5,5,6,4,20,0.0,90.18759018759019,619.2470181727995
get logout,500,4,4,6,3,21,0.0,90.20386072523904,210.4463117896446
TOTAL,5500,4,4,6,1,21,0.0,982.669287118099,3708.630006867518
