sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,500,2,1,18,1.089961467208818,0.0,90.05763688760807,202.6076962693624,2303.75
post login,500,3,3,14,1.1745024478475978,0.0,90.13881377321074,306.85928204434833,3486.0
ajax post search,500,4,3,18,1.3638826929028767,0.0,90.13881377321074,373.49510433567696,4243.0
get view hotel,500,3,2,15,1.1966937787086553,0.0,90.18759018759019,260.6985028860029,2960.0
post book hotel,500,4,3,16,1.3166624472506228,0.0,90.17132551848513,611.8265329125338,6948.0
ajax post cc number,500,3,2,18,1.4365778781534957,0.0,90.18759018759019,83.31783234126985,946.0
ajax post cc name,500,3,2,18,1.2209029445455521,0.0,90.20386072523904,76.19759719465993,865.0
post booking details,500,4,3,21,1.2735085394295542,0.0,90.18759018759019,306.0565194354257,3475.0
post confirm booking,500,5,4,21,1.7881957387266083,0.0,90.18759018759019,692.612509018759,7864.0
cancel booking,500,5,4,20,1.3535671390810282,0.0,90.18759018759019,619.2470181727995,7031.0
get logout,500,4,3,21,1.7189520063108203,0.0,90.20386072523904,210.4463117896446,2389.0
TOTAL,5500,4,1,21,1.699542096814013,0.0,982.669287118099,3708.630006867518,3864.6136363636365
