sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,500,1,2,3,1,8,0.0,27.009507346586,43.890449438202246
post login,500,5,5,7,4,14,0.0,27.009507346586,86.14555761127917
ajax post search,500,5,4,7,2,118,0.0,27.015344715798573,60.20411781391831
get view hotel,500,5,4,8,3,61,0.0,27.016804452369374,62.397209501810124
post book hotel,500,15,12,18,9,155,0.0,27.010966452379666,251.3022240154503
ajax post cc number,500,3,2,4,1,228,0.0,27.038719446247026,31.633189352152282
ajax post cc name,500,3,2,3,1,93,0.0,27.04018171002109,32.18943506300362
post booking details,500,5,4,6,3,95,0.0,27.04895861509332,65.21863166080607
post confirm booking,500,37,31,83,3,221,0.0,27.0138851369604,4.484727024690691
get confirm booking,500,3,3,5,3,11,0.0,27.0226449764903,152.58294263092472
cancel booking,500,6,6,8,5,27,0.0,27.01826434669837,136.22587775586297
get logout,500,79,69,148,13,268,0.0,26.986183074265977,43.87890119009068
TOTAL,6000,14,5,42,1,268,0.0,322.234156820623,964.2374630773362
