sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,500,1,2,2,1,12,0.0,87.93527963418923,142.8980926288252
post login,500,4,4,6,3,20,0.0,87.96622097114708,296.1987596762843
ajax post search,500,2,3,4,2,15,0.0,87.99718409010912,196.10309970080957
get view hotel,500,3,4,5,2,20,0.0,87.98169980644026,228.46029275910612
post book hotel,500,12,12,15,9,34,0.0,87.81173164734808,842.1865395591851
ajax post cc number,500,2,2,3,1,21,0.0,88.04366966015144,103.00421509068498
ajax post cc name,500,1,2,2,1,17,0.0,88.05917576611483,104.82825708876365
post booking details,500,4,4,5,2,21,0.0,88.04366966015144,237.56314381933439
post confirm booking,500,2,2,3,1,16,0.0,88.07468733485996,14.621774264576361
get confirm booking,500,3,3,4,2,21,0.0,88.09020436927413,513.0566199788583
cancel booking,500,5,5,7,4,19,0.0,88.09020436927413,469.6136969256519
get logout,500,1,2,3,1,15,0.0,88.15232722143865,143.33361799188998
TOTAL,6000,3,3,9,1,34,0.0,1046.0251046025105,3261.3406214587694
