sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,500,1,1,13,1.1473987972801785,0.0,41.428453061562685,66.5120867511807,1644.0
post login,500,7,5,23,2.524598978055722,0.0,41.43531946631308,144.41665544460096,3569.0
ajax post search,500,4,3,15,1.671496335622665,0.0,41.449059106358284,106.25369155682665,2625.0
get view hotel,500,5,3,17,2.21096901832658,0.0,41.45936981757877,96.8869843490879,2393.0
post book hotel,500,12,8,30,3.2084887408248712,0.0,41.45593234391841,476.824190572921,11778.0
ajax post cc number,500,3,2,17,1.739811484040728,0.0,41.50066401062417,59.61667652307437,1471.0
ajax post cc name,500,3,2,15,1.4991450897094651,0.0,41.50755437489624,60.31566495102109,1488.0
post booking details,500,6,4,24,2.496717845492358,0.0,41.504108906781774,100.96360867850916,2491.0
post confirm booking,500,3,2,18,1.8176237234367294,0.0,41.52823920265781,10.747054090531563,265.0
get confirm booking,500,6,4,21,2.1162230506258095,0.0,41.52479029980899,252.39286604102648,6224.0
cancel booking,500,7,5,20,1.9553608362652661,0.0,41.53168867846166,235.35975527452447,5803.0
get logout,500,46,2,167,28.852544497842814,0.0,41.4868901427149,66.60590565881182,1644.0
TOTAL,6000,9,1,167,14.333788364870221,0.0,494.11183397842376,1664.5311985300173,3449.5833333333335
