sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,500,2,1,11,1.043072384832424,0.0,68.20351930159596,109.49861887873413,1644.0
post login,500,7,5,20,1.8920887928424497,0.0,68.20351930159596,237.7132425658164,3569.0
ajax post search,500,4,3,14,1.1943265885008185,0.0,68.2407533779173,174.93357189163368,2625.0
get view hotel,500,4,3,14,1.8282713146576461,0.0,68.2407533779173,159.4727762044493,2393.0
post book hotel,500,12,9,28,2.651106184218205,0.0,68.2407533779173,784.9019465674901,11778.0
ajax post cc number,500,3,2,14,1.49700901800891,0.0,68.3900971139379,98.24397739707291,1471.0
ajax post cc name,500,2,2,13,0.9838109574506678,0.0,68.39945280437756,99.39295485636116,1488.0
post booking details,500,5,4,16,1.3993870086577191,0.0,68.3900971139379,166.36692569415948,2491.0
post confirm booking,500,2,1,9,1.047664068296703,0.0,68.40881105486386,17.703452079627855,265.0
get confirm booking,500,6,4,18,1.7841289191087055,0.0,68.40881105486386,415.7973046928444,6224.0
cancel booking,500,7,5,17,1.7613631085043207,0.0,68.46501437765302,387.99070159523484,5803.0
get logout,500,4,2,18,2.0637596759312835,0.0,68.50253459377997,109.97867858610768,1644.0
TOTAL,6000,5,1,28,3.25866741254083,0.0,812.4576844955992,2736.9536010494244,3449.5833333333335
