sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,2000,16,14,29,2,194,0.0,70.212392487274,151.23046532166052
post login,2000,22,18,34,4,206,0.0,70.18036353428312,214.71935804705592
ajax post search,2000,21,17,36,5,197,0.0,70.17543859649122,286.3012266995614
get view hotel,2000,20,16,35,3,202,0.0,70.18282626241358,198.04123432949083
post book hotel,2000,24,20,42,6,205,0.0,70.16805248570327,454.08682994991756
ajax post cc number,2000,22,17,43,5,197,0.0,70.18528916339136,51.04420494323765
ajax post cc name,2000,23,18,42,5,168,0.0,70.18036353428312,45.62631725252649
post booking details,2000,24,19,45,5,195,0.0,70.17790097898171,232.08767330651955
post confirm booking,2000,25,20,47,6,206,0.0,70.17790097898171,522.2549612486404
cancel booking,2000,27,21,51,7,205,0.0,70.18036353428312,463.0571662923714
get logout,2000,25,19,46,4,210,0.0,70.19760626162648,157.1574617313362
TOTAL,22000,23,18,42,2,210,0.0,768.1027861182879,2761.6603785524753
