sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,6000,34,2,425,50.09338826382181,0.0,78.76806742546572,169.66204550414844,2205.639166666667
post login,6000,59,4,624,75.77930427234074,0.0,78.75462683432652,240.98467176548183,3133.3816666666667
ajax post search,6000,63,5,590,78.16803664737624,0.0,78.7473914926568,321.2775016036578,4177.765833333333
get view hotel,6000,57,2,608,78.30967709180152,0.0,78.74842503149937,222.2119827622979,2889.519
post book hotel,6000,63,6,564,76.2502190481371,0.0,78.74325760856726,509.58265970937174,6626.759666666667
ajax post cc number,6000,51,5,476,63.734529311477274,0.0,78.74842503149937,57.274073024398895,744.7596666666667
ajax post cc name,6000,52,5,503,63.64177506341431,0.0,78.74635798094339,51.197411172467646,665.7596666666667
post booking details,6000,56,5,577,68.31244122880464,0.0,78.74635798094339,260.4256256029018,3386.5165
post confirm booking,6000,94,6,964,102.87973648661604,0.0,78.74635798094339,586.0232443253406,7620.515
cancel booking,6000,88,6,1069,100.36632209270532,0.0,78.74842503149937,519.5954381693616,6756.525333333333
get logout,6000,61,4,676,73.57757978997405,0.0,78.74945859747214,176.30318305721804,2292.516833333333
TOTAL,66000,62,2,1069,78.58350603903062,0.0,864.6552514705689,3108.8638370632507,3681.7871212121213
