sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,1000,13,2,45,4.290980191051923,0.0,54.03360890473875,121.56242823661316,2303.75
post login,1000,16,3,41,3.7233877047656527,0.0,53.99568034557235,183.82259887958963,3486.1
ajax post search,1000,15,5,50,3.832001957202008,0.0,54.00442836312578,222.92648309661394,4227.0
get view hotel,1000,14,4,40,3.4734714623845635,0.0,54.007344998919855,156.1550652138691,2960.76
post book hotel,1000,16,5,40,3.9489642945967542,0.0,53.99568034557235,366.3691279697624,6948.0
ajax post cc number,1000,13,3,47,4.1591518366128435,0.0,54.007344998919855,49.78802117087925,944.0
ajax post cc name,1000,15,4,34,3.235999999999997,0.0,54.00442836312578,45.61897513096074,865.0
post booking details,1000,16,4,31,3.0293192304542558,0.0,54.00151204233718,183.29716357057998,3475.76
post confirm booking,1000,16,5,79,4.530824980067094,0.0,54.00151204233718,413.6072841289556,7843.0
cancel booking,1000,15,6,44,4.556363023289516,0.0,54.01317921572864,370.07467322026577,7016.0
get logout,1000,14,4,56,4.425822409451153,0.0,54.01317921572864,126.05325699470671,2389.76
TOTAL,11000,15,2,79,4.122783171917319,0.0,589.3383337798017,2221.483747153764,3859.920909090909
