sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,3000,15,13,26,2,216,0.0,115.46455238241859,259.7670532724579
post login,3000,20,18,32,3,220,0.0,115.4068090017311,392.9579306116561
ajax post search,3000,19,17,32,3,212,0.0,115.35799430900562,476.1896893986003
get view hotel,3000,18,16,29,2,193,0.0,115.35355865728458,333.52949446302915
post book hotel,3000,20,18,32,4,234,0.0,115.35355865728458,782.691919483216
ajax post cc number,3000,17,14,27,2,227,0.0,115.36686663590216,106.3538301799723
ajax post cc name,3000,17,16,27,2,213,0.0,115.36686663590216,97.45345667974158
post booking details,3000,18,17,28,3,228,0.0,115.35799430900562,391.5592795893255
post confirm booking,3000,22,19,37,4,226,0.0,115.35799430900562,885.376361464662
cancel booking,3000,23,19,39,5,227,0.0,115.3757403276671,793.3621993019768
get logout,3000,21,17,35,3,225,0.0,115.3713033111564,269.24777910241124
TOTAL,33000,19,17,31,2,234,0.0,1262.4330527926547,4763.412977596595
