sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,14,1,205,9.269032713152974,0.0,122.27554794729923,198.72045326017178,1664.19
post login,4000,33,4,250,17.227567841979315,0.0,122.17470983506414,411.1196882635919,3445.775
ajax post search,4000,15,2,213,11.350675065276954,0.0,122.21950623319482,272.39075676790515,2282.19
get view hotel,4000,16,2,206,11.297902360615442,0.0,122.21577194536955,317.2585379174433,2658.19
post book hotel,4000,43,8,263,22.03126636736981,0.0,122.1560543594442,1164.8963582226295,9765.0
ajax post cc number,4000,14,2,195,10.695102941884196,0.0,122.22324074922847,142.77560385919884,1196.19
ajax post cc name,4000,15,2,204,10.22072893376495,0.0,122.22697549349141,145.28657451261995,1217.19
post booking details,4000,30,3,215,14.424727031646045,0.0,122.16351586598662,328.79165012369054,2756.0
post confirm booking,4000,17,2,200,10.443226869004617,0.0,122.21950623319482,19.95496020227328,167.19
get confirm booking,4000,15,3,212,9.950562484101086,0.0,122.21577194536955,711.4760132451343,5961.19
cancel booking,4000,30,5,265,15.654051200887267,0.0,122.17470983506414,651.0814370800244,5457.0
get logout,4000,14,2,209,10.466981370003483,0.0,122.23818109586529,198.77909841701555,1665.19
TOTAL,48000,21,1,265,16.32610099395843,0.0,1456.885300634352,4533.238871331228,3186.2745833333333
