sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,12000,37,16,104,1,858,0.0,98.02079674570955,158.51800723720217
post login,12000,148,103,323,6,1317,0.0,97.98557978884108,341.61945156654446
ajax post search,12000,55,22,158,3,708,0.0,98.00398549541015,252.3794040540982
get view hotel,12000,72,30,196,3,779,0.0,98.00478590037812,230.17725594766546
post book hotel,12000,192,143,421,9,1415,0.0,97.99278119845171,1124.2374936712995
ajax post cc number,12000,52,21,148,2,818,0.0,98.00718719372755,141.93814317216595
ajax post cc name,12000,51,21,146,2,794,0.0,98.00638674953652,143.56404309014138
post booking details,12000,101,58,244,4,884,0.0,97.99358142041696,237.80668928685174
post confirm booking,12000,62,22,180,2,847,0.0,98.00798765099356,25.07626246539093
get confirm booking,12000,108,63,255,6,1071,0.0,97.99358142041696,595.6172370709719
cancel booking,12000,122,77,277,6,1146,0.0,97.99598216473125,555.438164535254
get logout,12000,68,28,188,2,877,0.0,98.01038910124474,158.8648865529746
TOTAL,144000,89,41,236,1,1415,0.0,1173.6993536502864,3957.596162858936
