sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,20,7,53,1,628,0.0,52.10232897410514,86.65065062783306
post login,4000,99,90,160,7,846,0.0,52.11590577444236,135.78636387325412
ajax post search,4000,47,39,83,3,691,0.0,52.11590577444236,185.5611254429852
get view hotel,4000,52,42,97,3,700,0.0,52.11590577444236,116.70094916093393
post book hotel,4000,151,119,299,12,1080,0.0,52.1097953387788,499.9283490314092
ajax post cc number,4000,8,3,18,1,624,0.0,52.11590577444236,7.634407633514437
ajax post cc name,4000,7,3,15,1,598,0.0,52.11658480019804,7.63426535159151
post booking details,4000,66,49,132,12,827,0.0,52.1084376587679,140.55029766945012
post confirm booking,4000,94,80,166,9,853,0.0,52.11047420531527,386.27401712724725
cancel booking,4000,107,97,168,8,839,0.0,52.1084376587679,310.7423706937261
get logout,4000,32,19,72,4,659,0.0,52.1097953387788,86.66306783392609
TOTAL,44000,62,41,140,1,1080,0.0,572.4843217361888,1961.6129415407308
