sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,20,1,628,33.31081295540533,0.0,52.10232897410514,86.65065062783306,1703.0
post login,4000,99,7,846,76.42668723644576,0.0,52.11590577444236,135.78636387325412,2668.0
ajax post search,4000,47,3,691,49.58219712696786,0.0,52.11590577444236,185.5611254429852,3646.0
get view hotel,4000,52,3,700,56.28188209750541,0.0,52.11590577444236,116.70094916093393,2293.0
post book hotel,4000,151,12,1080,122.19622512965569,0.0,52.1097953387788,499.9283490314092,9824.0
ajax post cc number,4000,8,1,624,26.3034423412602,0.0,52.11590577444236,7.634407633514437,150.00475
ajax post cc name,4000,7,1,598,19.977383736052627,0.0,52.11658480019804,7.63426535159151,150.0
post booking details,4000,66,12,827,66.6089325841512,0.0,52.1084376587679,140.55029766945012,2762.0
post confirm booking,4000,94,9,853,74.25812897883638,0.0,52.11047420531527,386.27401712724725,7590.50075
cancel booking,4000,107,8,839,81.94460199427415,0.0,52.1084376587679,310.7423706937261,6106.50025
get logout,4000,32,4,659,44.822688049691976,0.0,52.1097953387788,86.66306783392609,1703.0
TOTAL,44000,62,1,1080,79.0198718954802,0.0,572.4843217361888,1961.6129415407308,3508.7277954545452
