sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,3,3,5,1,199,0.0,216.4619297581038,277.5532361058499
post login,4000,2,2,3,1,52,0.0,216.59085986571367,508.22178057992204
ajax post search,4000,2,2,4,1,197,0.0,216.6260492824262,560.8160709450311
get view hotel,4000,2,2,3,1,185,0.0,216.63778162911612,459.9321652946274
post book hotel,4000,2,2,4,1,189,0.0,216.6612501354133,1176.8260480987976
ajax post cc number,4000,2,2,3,0,45,0.0,216.73168617251844,40.42553912006935
ajax post cc name,4000,2,2,3,0,199,0.0,216.74342996477918,38.31109455432133
post booking details,4000,2,2,3,1,188,0.0,216.74342996477918,560.2732999187212
post confirm booking,4000,3,3,5,1,55,0.0,216.76692136779926,1204.8135698633014
cancel booking,4000,3,3,5,1,221,0.0,216.76692136779926,1029.9604590886306
get logout,4000,3,3,5,1,200,0.0,216.76692136779926,327.0555600715331
TOTAL,44000,2,2,4,0,221,0.0,2378.3783783783783,6170.560810810811
