sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,3,1,199,5.512774885436553,0.0,216.4619297581038,277.5532361058499,1313.0
post login,4000,2,1,52,3.668937175804459,0.0,216.59085986571367,508.22178057992204,2402.775
ajax post search,4000,2,1,197,4.384266301218483,0.0,216.6260492824262,560.8160709450311,2651.0
get view hotel,4000,2,1,185,5.284336754740371,0.0,216.63778162911612,459.9321652946274,2174.0
post book hotel,4000,2,1,189,5.182366158426091,0.0,216.6612501354133,1176.8260480987976,5562.0
ajax post cc number,4000,2,0,45,3.348200076160324,0.0,216.73168617251844,40.42553912006935,191.0
ajax post cc name,4000,2,0,199,5.4187258419300015,0.0,216.74342996477918,38.31109455432133,181.0
post booking details,4000,2,1,188,4.285161716610005,0.0,216.74342996477918,560.2732999187212,2647.0
post confirm booking,4000,3,1,55,4.281448170596019,0.0,216.76692136779926,1204.8135698633014,5691.50075
cancel booking,4000,3,1,221,7.1902344189880205,0.0,216.76692136779926,1029.9604590886306,4865.50025
get logout,4000,3,1,200,6.440005701666731,0.0,216.76692136779926,327.0555600715331,1545.0
TOTAL,44000,2,0,221,5.152117268727793,0.0,2378.3783783783783,6170.560810810811,2656.706909090909
