sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,16,6,42,1,398,0.0,100.84965837178227,218.29620115882562
post login,4000,27,10,81,3,394,0.0,100.85220109928899,321.1006540422823
ajax post search,4000,32,12,92,4,608,0.0,100.85474395501878,411.4711781961499
get view hotel,4000,23,8,67,2,568,0.0,100.85983005118636,284.6289766745884
post book hotel,4000,29,11,80,4,469,0.0,100.85474395501878,651.2962247626762
ajax post cc number,4000,24,10,61,3,428,0.0,100.85983005118636,54.24675534714693
ajax post cc name,4000,21,9,55,3,331,0.0,100.86237329164355,57.892564433720814
post booking details,4000,23,10,59,4,486,0.0,100.85983005118636,333.58226537482034
post confirm booking,4000,38,13,114,4,714,0.0,100.85983005118636,762.9978673661716
cancel booking,4000,38,14,110,5,476,0.0,100.85983005118636,677.2592552683502
get logout,4000,38,18,102,3,496,0.0,100.86491666036261,226.72236695287089
TOTAL,44000,28,11,79,1,714,0.0,1107.9774375503625,3994.2434404666724
