sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,16,1,398,30.78998134133894,0.0,100.84965837178227,218.29620115882562,2216.52025
post login,4000,27,3,394,43.91050648478107,0.0,100.85220109928899,321.1006540422823,3260.2865
ajax post search,4000,32,4,608,47.94709975587679,0.0,100.85474395501878,411.4711781961499,4177.75575
get view hotel,4000,23,2,568,43.531320172233464,0.0,100.85983005118636,284.6289766745884,2889.75375
post book hotel,4000,29,4,469,47.624866781965906,0.0,100.85474395501878,651.2962247626762,6612.75125
ajax post cc number,4000,24,3,428,37.613152486032064,0.0,100.85983005118636,54.24675534714693,550.75125
ajax post cc name,4000,21,3,331,34.78016206744155,0.0,100.86237329164355,57.892564433720814,587.75125
post booking details,4000,23,4,486,38.81162666006154,0.0,100.85983005118636,333.58226537482034,3386.762
post confirm booking,4000,38,4,714,61.59870134791804,0.0,100.85983005118636,762.9978673661716,7746.4915
cancel booking,4000,38,5,476,55.56460400065855,0.0,100.85983005118636,677.2592552683502,6876.01275
get logout,4000,38,3,496,48.88388268066992,0.0,100.86491666036261,226.72236695287089,2301.729
TOTAL,44000,28,1,714,46.04339756849864,0.0,1107.9774375503625,3994.2434404666724,3691.505931818182
