sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,7,3,16,1,253,0.0,175.87829222178252,340.8930082882645
post login,4000,11,5,29,2,317,0.0,175.9169671914856,557.4325949401882
ajax post search,4000,13,5,33,2,325,0.0,175.93244194229416,560.6128496657284
get view hotel,4000,10,4,26,1,296,0.0,175.94018033868485,457.7193754123598
post book hotel,4000,12,5,27,2,318,0.0,175.9479194158529,1066.340613178499
ajax post cc number,4000,10,4,27,1,235,0.0,175.9711407329198,106.37317979851304
ajax post cc name,4000,9,4,22,1,263,0.0,175.98662501649875,108.44488318887765
post booking details,4000,10,5,25,2,258,0.0,175.98662501649875,505.27409916846324
post confirm booking,4000,15,6,33,3,277,0.0,175.9788825340959,1145.065803041135
cancel booking,4000,16,6,37,3,370,0.0,175.9788825340959,1015.5734866503519
get logout,4000,18,8,46,2,274,0.0,175.99436818021823,355.7698653643083
TOTAL,44000,12,5,29,1,370,0.0,1931.434089811685,6206.348243533537
