sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,7,1,253,16.29424042414988,0.0,175.87829222178252,340.8930082882645,1984.75
post login,4000,11,2,317,22.323115816346068,0.0,175.9169671914856,557.4325949401882,3244.775
ajax post search,4000,13,2,325,24.594140582667247,0.0,175.93244194229416,560.6128496657284,3263.0
get view hotel,4000,10,1,296,20.564001116939767,0.0,175.94018033868485,457.7193754123598,2664.0
post book hotel,4000,12,2,318,22.75112941702016,0.0,175.9479194158529,1066.340613178499,6206.0
ajax post cc number,4000,10,1,235,20.950500827844188,0.0,175.9711407329198,106.37317979851304,619.0
ajax post cc name,4000,9,1,263,18.734889104288822,0.0,175.98662501649875,108.44488318887765,631.0
post booking details,4000,10,2,258,19.643329260527604,0.0,175.98662501649875,505.27409916846324,2940.0
post confirm booking,4000,15,3,277,26.55973851057273,0.0,175.9788825340959,1145.065803041135,6663.0005
cancel booking,4000,16,3,370,28.493707497226474,0.0,175.9788825340959,1015.5734866503519,5909.50025
get logout,4000,18,2,274,28.58533321477992,0.0,175.99436818021823,355.7698653643083,2070.0
TOTAL,44000,12,1,370,23.18895130469617,0.0,1931.434089811685,6206.348243533537,3290.4568863636364
