sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,10,4,24,1,222,0.0,154.2317331791016,333.7294558511664
post login,4000,15,6,37,2,336,0.0,154.24957581366652,516.9432012089311
ajax post search,4000,18,7,49,2,351,0.0,154.26742257703728,625.9581453199121
get view hotel,4000,12,5,31,2,341,0.0,154.2852734706472,431.81796266296385
post book hotel,4000,16,7,38,3,295,0.0,154.2852734706472,1031.481427910206
ajax post cc number,4000,13,5,36,1,251,0.0,154.30312849593025,93.27503568259847
ajax post cc name,4000,11,5,26,1,341,0.0,154.30908108942214,95.08694352287633
post booking details,4000,13,6,28,2,336,0.0,154.3328960567945,508.96698240604985
post confirm booking,4000,18,8,51,4,310,0.0,154.3448062972681,1177.1806780801435
cancel booking,4000,20,8,53,3,333,0.0,154.35671837616732,1051.63055111378
get logout,4000,22,10,59,2,392,0.0,154.36267510515958,346.8637845868869
TOTAL,44000,15,6,40,1,392,0.0,1694.0669156431677,6200.703878486795
