sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,10,1,222,19.17330199620034,0.0,154.2317331791016,333.7294558511664,2215.75
post login,4000,15,2,336,28.208064971520113,0.0,154.24957581366652,516.9432012089311,3431.775
ajax post search,4000,18,2,351,29.240968310745114,0.0,154.26742257703728,625.9581453199121,4155.0
get view hotel,4000,12,2,341,23.22144706946576,0.0,154.2852734706472,431.81796266296385,2866.0
post book hotel,4000,16,3,295,27.409142562291144,0.0,154.2852734706472,1031.481427910206,6846.0
ajax post cc number,4000,13,1,251,24.530642030682767,0.0,154.30312849593025,93.27503568259847,619.0
ajax post cc name,4000,11,1,341,22.639723711874225,0.0,154.30908108942214,95.08694352287633,631.0
post booking details,4000,13,2,336,23.350363636087124,0.0,154.3328960567945,508.96698240604985,3377.0
post confirm booking,4000,18,4,310,28.51272892937468,0.0,154.3448062972681,1177.1806780801435,7810.0005
cancel booking,4000,20,3,333,32.06233417013646,0.0,154.35671837616732,1051.63055111378,6976.50025
get logout,4000,22,2,392,32.29640837229428,0.0,154.36267510515958,346.8637845868869,2301.0
TOTAL,44000,15,1,392,26.968940898398323,0.0,1694.0669156431677,6200.703878486795,3748.09325
