sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,8,3,18,1,234,0.0,169.74326331423723,329.0018963505198
post login,4000,12,5,30,2,257,0.0,169.7576709247549,537.9154752684293
ajax post search,4000,14,5,39,2,266,0.0,169.7648756472286,540.9597551141668
get view hotel,4000,11,4,29,1,273,0.0,169.7792869269949,441.6914261460102
post book hotel,4000,13,6,31,3,216,0.0,169.7792869269949,1028.9553268251275
ajax post cc number,4000,11,4,27,1,291,0.0,169.80090843486013,102.6433225792758
ajax post cc name,4000,9,4,21,1,195,0.0,169.81532583315644,104.6420611335173
post booking details,4000,11,5,26,2,275,0.0,169.81532583315644,487.5565083713649
post confirm booking,4000,17,7,44,3,327,0.0,169.81532583315644,1104.9605477870941
cancel booking,4000,16,7,43,3,325,0.0,169.82253545045427,980.0452301758726
get logout,4000,18,8,48,2,278,0.0,169.82974567995583,343.3081773022545
TOTAL,44000,13,5,33,1,327,0.0,1864.4067796610168,5990.967707229873
