sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,8,1,234,17.56195256086293,0.0,169.74326331423723,329.0018963505198,1984.75
post login,4000,12,2,257,23.645908778000052,0.0,169.7576709247549,537.9154752684293,3244.775
ajax post search,4000,14,2,266,25.053347419806002,0.0,169.7648756472286,540.9597551141668,3263.0
get view hotel,4000,11,1,273,23.272608898391688,0.0,169.7792869269949,441.6914261460102,2664.0
post book hotel,4000,13,3,216,22.009841429460597,0.0,169.7792869269949,1028.9553268251275,6206.0
ajax post cc number,4000,11,1,291,21.727142574151344,0.0,169.80090843486013,102.6433225792758,619.0
ajax post cc name,4000,9,1,195,17.65228137522173,0.0,169.81532583315644,104.6420611335173,631.0
post booking details,4000,11,2,275,20.75879715777145,0.0,169.81532583315644,487.5565083713649,2940.00475
post confirm booking,4000,17,3,327,29.173663455889454,0.0,169.81532583315644,1104.9605477870941,6663.0005
cancel booking,4000,16,3,325,26.988637394976056,0.0,169.82253545045427,980.0452301758726,5909.50025
get logout,4000,18,2,278,27.068426578534265,0.0,169.82974567995583,343.3081773022545,2070.0
TOTAL,44000,13,1,327,23.653762459963886,0.0,1864.4067796610168,5990.967707229873,3290.457318181818
