sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,26,2,306,26.31219302790058,0.0,46.27862043432485,104.11559748591394,2303.75
post login,4000,68,6,499,52.686838726573825,0.0,46.27969131445894,162.87265094410571,3603.775
ajax post search,4000,59,6,357,37.85960612579058,0.0,46.282368731631685,191.7735259065559,4243.0
get view hotel,4000,66,5,401,42.43927625958648,0.0,46.28504645861538,133.52151097534164,2954.0
post book hotel,4000,60,6,348,37.937817470665074,0.0,46.28611763616797,313.2449172057071,6930.0
ajax post cc number,4000,60,6,359,39.144386251415405,0.0,46.28879579697734,31.95915881685838,707.0
ajax post cc name,4000,25,3,293,25.807041887825893,0.0,46.29200999907416,32.5038624895843,719.0
post booking details,4000,274,20,1049,140.23496535368773,0.0,46.284510888431186,156.79782057809354,3469.0
post confirm booking,4000,42,6,379,34.89649047450904,0.0,46.302727230633884,360.92616397097976,7982.0005
cancel booking,4000,32,6,305,26.13338463417052,0.0,46.30487127245786,323.25232799549104,7148.50025
get logout,4000,72,6,431,43.15636717507626,0.0,46.30594336783126,108.03212764233288,2389.0
TOTAL,44000,71,2,1049,86.27938409967538,0.0,508.5470579396909,1916.4885615739242,3859.002340909091
