sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,9,4,22,1,222,0.0,158.66719555731854,357.11740132883773
post login,4000,15,6,36,2,275,0.0,158.6797841954935,559.218396689543
ajax post search,4000,17,6,45,2,353,0.0,158.6986708986312,657.7316008728427
get view hotel,4000,12,5,31,1,236,0.0,158.71756209824616,458.01796484406
post book hotel,4000,15,6,34,3,324,0.0,158.71756209824616,1074.9084894056027
ajax post cc number,4000,12,5,29,2,321,0.0,158.73015873015873,109.74702380952381
ajax post cc name,4000,10,4,25,1,206,0.0,158.74275736169537,111.61600126994206
post booking details,4000,12,6,28,2,260,0.0,158.74275736169537,537.9271172315263
post confirm booking,4000,19,8,51,3,350,0.0,158.74905742747154,1238.2117197731873
cancel booking,4000,19,8,49,3,359,0.0,158.75535799333227,1109.0395440372479
get logout,4000,20,9,53,2,272,0.0,158.76796062554575,370.5619393506391
TOTAL,44000,15,6,37,1,359,0.0,1742.7122940430925,6571.687879671162
