sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,20,10,51,2,595,0.0,122.81994595922379,179.91203021370671
post login,4000,23,7,68,2,641,0.0,122.85012285012286,339.0105526335995
ajax post search,4000,28,10,74,3,678,0.0,122.85012285012286,531.7106879606879
get view hotel,4000,17,6,48,1,559,0.0,122.85766939001168,296.9460270901161
post book hotel,4000,16,8,36,3,595,0.0,122.85389600417703,712.2886529070304
ajax post cc number,4000,15,6,37,1,564,0.0,122.86144300764812,39.474037841324446
ajax post cc name,4000,13,5,27,1,599,0.0,122.87276525158198,38.27774620630337
post booking details,4000,13,6,30,2,517,0.0,122.86899093841191,340.28951005989865
post confirm booking,4000,34,13,89,5,737,0.0,122.86144300764812,955.7157386948275
cancel booking,4000,33,13,87,4,670,0.0,122.86521685710775,826.6405686067853
get logout,4000,25,12,61,2,566,0.0,122.86899093841191,213.82084165258792
TOTAL,44000,21,9,57,1,737,0.0,1349.4448874440288,4467.49352113108
