sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,20,2,595,34.86877309911406,0.0,122.81994595922379,179.91203021370671,1500.0
post login,4000,23,2,641,44.18404262216734,0.0,122.85012285012286,339.0105526335995,2825.775
ajax post search,4000,28,3,678,48.42662880004657,0.0,122.85012285012286,531.7106879606879,4432.0
get view hotel,4000,17,1,559,35.974161418301335,0.0,122.85766939001168,296.9460270901161,2475.0
post book hotel,4000,16,3,595,32.49255117619268,0.0,122.85389600417703,712.2886529070304,5937.0
ajax post cc number,4000,15,1,564,32.95196093463179,0.0,122.86144300764812,39.474037841324446,329.0
ajax post cc name,4000,13,1,599,33.55349346100194,0.0,122.87276525158198,38.27774620630337,319.0
post booking details,4000,13,2,517,25.560049587931164,0.0,122.86899093841191,340.28951005989865,2836.0
post confirm booking,4000,34,5,737,53.80898891216969,0.0,122.86144300764812,955.7157386948275,7965.50075
cancel booking,4000,33,4,670,52.34370067161855,0.0,122.86521685710775,826.6405686067853,6889.50025
get logout,4000,25,2,566,37.785202275494036,0.0,122.86899093841191,213.82084165258792,1782.0
TOTAL,44000,21,1,737,40.87163449024815,0.0,1349.4448874440288,4467.49352113108,3390.0705454545455
