sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,9,5,20,2,202,0.0,201.67389331451045,265.6817207824947
post login,4000,8,4,20,2,220,0.0,201.73492031470647,503.3079404755901
ajax post search,4000,8,4,20,1,207,0.0,201.77562550443906,548.971574858757
get view hotel,4000,7,3,19,1,202,0.0,201.78580436866267,451.25926953538817
post book hotel,4000,7,4,16,2,183,0.0,201.80616517834622,1160.5825261086725
ajax post cc number,4000,6,3,15,1,185,0.0,201.85708518368995,64.6573475979007
ajax post cc name,4000,6,3,13,1,202,0.0,201.8876495230404,62.69557866047545
post booking details,4000,8,4,16,2,202,0.0,201.8978396931153,530.3761609125783
post confirm booking,4000,10,5,26,2,195,0.0,201.90803089192872,1133.6624756290696
cancel booking,4000,10,5,25,2,202,0.0,201.90803089192872,989.3296830832618
get logout,4000,11,6,28,2,209,0.0,201.8978396931153,339.1252776095296
TOTAL,44000,8,4,20,1,220,0.0,2215.2854697412145,6036.136844225154
