sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,9,2,202,12.806819255283491,0.0,201.67389331451045,265.6817207824947,1349.0
post login,4000,8,2,220,14.320865090402185,0.0,201.73492031470647,503.3079404755901,2554.775
ajax post search,4000,8,1,207,13.791656889221107,0.0,201.77562550443906,548.971574858757,2786.0
get view hotel,4000,7,1,202,13.4283986363788,0.0,201.78580436866267,451.25926953538817,2290.0
post book hotel,4000,7,2,183,11.7167241155538,0.0,201.80616517834622,1160.5825261086725,5889.0
ajax post cc number,4000,6,1,185,10.540253305779705,0.0,201.85708518368995,64.6573475979007,328.0
ajax post cc name,4000,6,1,202,12.203173047920775,0.0,201.8876495230404,62.69557866047545,318.0
post booking details,4000,8,2,202,12.698730005398179,0.0,201.8978396931153,530.3761609125783,2690.0
post confirm booking,4000,10,2,195,15.467727238915872,0.0,201.90803089192872,1133.6624756290696,5749.50075
cancel booking,4000,10,2,202,15.006212413530605,0.0,201.90803089192872,989.3296830832618,5017.50025
get logout,4000,11,2,209,15.56919956195565,0.0,201.8978396931153,339.1252776095296,1720.0
TOTAL,44000,8,1,220,13.58806223906509,0.0,2215.2854697412145,6036.136844225154,2790.1614545454545
