sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,28,15,71,3,420,0.0,89.72834742816124,265.5924033737859
post login,4000,46,30,108,4,402,0.0,89.72834742816124,352.60436528410236
ajax post search,4000,17,7,47,2,323,0.0,89.73438621679827,178.7677225412778
get view hotel,4000,31,18,78,2,305,0.0,89.73237319694012,301.4446912084708
post book hotel,4000,53,35,123,6,427,0.0,89.72834742816124,652.9839188224837
ajax post cc number,4000,11,5,28,1,216,0.0,89.73639932697701,38.208076275939426
ajax post cc name,4000,10,4,22,1,245,0.0,89.73639932697701,37.419377453729666
post booking details,4000,35,22,85,5,298,7.5E-4,89.73237319694012,323.099001271676
post confirm booking,4000,47,30,113,5,462,7.5E-4,89.73237319694012,544.3759008289028
cancel booking,4000,44,27,105,1,413,7.5E-4,89.73237319694012,512.1919261544631
get logout,4000,33,19,80,3,290,0.0,89.73237319694012,278.22293447293447
TOTAL,44000,32,16,85,1,462,2.0454545454545454E-4,985.883934573157,3480.821410941351
