sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,28,3,420,34.90251360575625,0.0,89.72834742816124,265.5924033737859,3031.0
post login,4000,46,4,402,47.52405441918334,0.0,89.72834742816124,352.60436528410236,4024.0
ajax post search,4000,17,2,323,27.089822350838705,0.0,89.73438621679827,178.7677225412778,2040.0
get view hotel,4000,31,2,305,37.584904812304636,0.0,89.73237319694012,301.4446912084708,3440.0
post book hotel,4000,53,6,427,51.457098192936414,0.0,89.72834742816124,652.9839188224837,7451.99875
ajax post cc number,4000,11,1,216,17.55217490084918,0.0,89.73639932697701,38.208076275939426,436.0
ajax post cc name,4000,10,1,245,18.00923393533162,0.0,89.73639932697701,37.419377453729666,427.0
post booking details,4000,35,5,298,38.10944722030877,7.5E-4,89.73237319694012,323.099001271676,3687.11275
post confirm booking,4000,47,5,462,49.01142925315992,7.5E-4,89.73237319694012,544.3759008289028,6212.261
cancel booking,4000,44,1,413,47.49749766040313,7.5E-4,89.73237319694012,512.1919261544631,5844.98675
get logout,4000,33,3,290,37.73517112389979,0.0,89.73237319694012,278.22293447293447,3175.0
TOTAL,44000,32,1,462,41.138350702830444,2.0454545454545454E-4,985.883934573157,3480.821410941351,3615.3962954545455
