sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,4,2,7,1,215,0.0,146.00671630895022,237.26091400204407
post login,4000,9,6,19,3,239,0.0,146.00671630895022,505.43062285552634
ajax post search,4000,7,4,14,2,227,0.0,146.0120459937945,325.3901259353897
get view hotel,4000,8,5,17,2,201,0.0,146.02270653086555,379.17419596247214
post book hotel,4000,103,89,205,8,467,0.0,145.99605810643112,1400.507108183079
ajax post cc number,4000,5,3,10,1,211,0.0,146.02803738317758,192.66003760221963
ajax post cc name,4000,4,3,8,1,233,0.0,146.03336862473077,196.8027819356723
post booking details,4000,9,5,18,2,261,0.0,146.02803738317758,394.16161653037386
post confirm booking,4000,5,3,12,1,248,0.0,146.03336862473077,24.10188765242233
get confirm booking,4000,6,4,13,2,259,0.0,146.02803738317758,864.4746441707433
cancel booking,4000,12,8,25,3,251,0.0,146.02270653086555,792.3585989691709
get logout,4000,4,2,9,1,198,0.0,146.03336862473077,237.44683472673506
TOTAL,48000,15,5,29,1,467,0.0,1749.3986442160508,5540.94123854235
