sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,9,1,290,18.876829048796836,0.0,90.27715085311908,145.2016283741085,1647.0
post login,4000,27,5,346,34.06059878730848,0.0,90.27307605506657,267.2731007391108,3031.775
ajax post search,4000,17,3,401,27.222963513135376,0.0,90.28122601904934,233.37344264885118,2647.0
get view hotel,4000,23,3,293,30.93472926986755,0.0,90.28530155290719,211.1653293156374,2395.0
post book hotel,4000,145,9,794,106.82423162577626,0.0,90.27715085311908,1030.1645583190395,11685.0
ajax post cc number,4000,15,2,319,25.643631976330887,0.0,90.29345372460497,152.6347347629797,1731.0
ajax post cc name,4000,13,2,304,23.76371523852068,0.0,90.29549199756202,154.84266010519426,1756.0
post booking details,4000,20,3,276,29.51932009718381,0.0,90.29141554366718,220.08532538768875,2496.0
post confirm booking,4000,11,1,270,22.26329326352011,0.0,90.29753036254458,23.191650864598852,263.0
get confirm booking,4000,22,5,332,28.89558979757984,0.0,90.28937745474245,503.5573044811747,5711.0005
cancel booking,4000,28,5,354,35.827218839173106,0.0,90.28937745474245,466.2159236956007,5287.50025
get logout,4000,23,2,325,31.70864432512844,0.0,90.29549199756202,145.2311282421725,1647.0
TOTAL,48000,29,1,794,54.32190526782588,0.0,1081.8851849347488,3547.9350282515725,3358.1063125
