sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,14,13,22,2,82,0.0,32.892572857048876,55.08863520492073
post login,1000,37,35,48,22,185,0.0,32.86230693394676,85.62171376930661
ajax post search,1000,15,12,25,4,107,0.0,32.87527122098757,117.43920129528568
get view hotel,1000,17,16,25,5,96,0.0,32.872029190361914,74.02466378077644
post book hotel,1000,40,37,56,15,134,0.0,32.8515111695138,314.97669595926413
ajax post cc number,1000,13,10,25,2,94,0.0,32.881757201104826,4.97721910758911
ajax post cc name,1000,2,2,5,1,33,0.0,32.88716413983622,4.822337372973329
post booking details,1000,41,35,63,23,152,0.0,32.85690816494168,88.62380893707902
post confirm booking,1000,28,23,49,10,183,0.0,32.8709486555782,244.12457473210176
cancel booking,1000,41,36,64,22,210,0.0,32.866627226713995,196.01219968119372
get logout,1000,18,15,31,5,93,0.0,32.89581894141254,55.12459034425474
TOTAL,11000,24,21,45,1,210,0.0,359.4066522904006,1233.547573392472
