sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,3000,21,2,209,21.266731010874445,0.0,51.86184005808526,86.85845283165648,1715.0
post login,3000,59,9,306,37.93732714622895,0.0,51.83674879911532,135.05902909769497,2668.0
ajax post search,3000,29,4,258,28.832146218336845,0.0,51.84929139301763,185.21944132388523,3658.0
get view hotel,3000,30,4,230,27.571803664855395,0.0,51.84749922228751,116.75560628089247,2305.95
post book hotel,3000,79,13,419,52.40575104572652,0.0,51.8295843267337,496.936385663937,9818.0
ajax post cc number,3000,25,2,249,26.214760820745415,0.0,51.854668648667335,7.8490953520932,155.0
ajax post cc name,3000,5,1,176,11.717644359398069,0.0,51.86184005808526,7.606251269534627,150.18366666666665
post booking details,3000,78,14,449,53.69922281146679,0.0,51.83674879911532,139.81748064761376,2762.0
post confirm booking,3000,79,10,419,59.622311468852736,0.0,51.84749922228751,385.05881990771144,7605.0
cancel booking,3000,88,11,453,59.57504015385413,0.0,51.841227600269576,309.1741962449671,6107.0
get logout,3000,36,4,341,35.08961507657533,0.0,51.86632319634861,86.91407938356875,1715.95
TOTAL,33000,48,1,453,49.32989856920007,0.0,568.4656595062962,1951.0768783860312,3514.5530606060606
