sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,29,29,31,5,47,0.0,51.271534044298605,65.74172285172271
post login,1000,15,15,17,2,36,0.0,51.284681265705935,120.31316109159445
ajax post search,1000,11,12,14,2,26,0.0,51.28994204236549,132.79236469072166
get view hotel,1000,14,15,16,2,148,0.0,51.28205128205128,108.8837139423077
post book hotel,1000,15,15,17,2,149,0.0,51.284681265705935,278.569473915329
ajax post cc number,1000,12,13,15,2,150,0.0,51.295203898435496,9.577275423185432
ajax post cc name,1000,14,15,16,1,35,0.0,51.295203898435496,9.076345697614773
post booking details,1000,15,15,17,2,149,0.0,51.284681265705935,132.57841347633212
post confirm booking,1000,15,15,17,2,149,0.0,51.29257283545342,285.17418236433116
cancel booking,1000,13,13,15,2,31,0.0,51.3294322964788,243.9245802214865
get logout,1000,13,14,16,2,35,0.0,51.33206714234382,77.45878596452954
TOTAL,11000,15,15,18,1,150,0.0,559.4832409338284,1451.7060265245918
