sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,1000,29,5,47,2.893889942620484,0.0,51.271534044298605,65.74172285172271,1313.0
post login,1000,15,2,36,2.171329316340564,0.0,51.284681265705935,120.31316109159445,2402.29
ajax post search,1000,11,2,26,2.0292301495887606,0.0,51.28994204236549,132.79236469072166,2651.19
get view hotel,1000,14,2,148,4.675831369927704,0.0,51.28205128205128,108.8837139423077,2174.19
post book hotel,1000,15,2,149,4.711359782483185,0.0,51.284681265705935,278.569473915329,5562.19
ajax post cc number,1000,12,2,150,4.775649798718494,0.0,51.295203898435496,9.577275423185432,191.19
ajax post cc name,1000,14,1,35,2.04082115825958,0.0,51.295203898435496,9.076345697614773,181.19
post booking details,1000,15,2,149,4.64436691057026,0.0,51.284681265705935,132.57841347633212,2647.19
post confirm booking,1000,15,2,149,4.790195716252101,0.0,51.29257283545342,285.17418236433116,5693.19
cancel booking,1000,13,2,31,2.1495560006661885,0.0,51.3294322964788,243.9245802214865,4866.19
get logout,1000,13,2,35,2.588412447814299,0.0,51.33206714234382,77.45878596452954,1545.19
TOTAL,11000,15,1,150,5.718883390983719,0.0,559.4832409338284,1451.7060265245918,2657.0
