sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,22,15,44,1,329,0.0,89.6117570625266,193.96661717017273
post login,4000,31,20,69,3,335,0.0,89.5876727362315,285.2337205900468
ajax post search,4000,34,20,77,5,297,0.0,89.59168589154928,365.5186579935382
get view hotel,4000,30,18,70,2,317,0.0,89.59369260404068,252.89801472976302
post book hotel,4000,36,22,79,5,348,0.0,89.58365994042687,578.5071302994334
ajax post cc number,4000,30,19,64,4,378,0.0,89.59369260404068,48.18425782824889
ajax post cc name,4000,30,19,64,4,350,0.0,89.5876727362315,50.80565914130216
post booking details,4000,31,20,67,4,396,0.0,89.5876727362315,296.3641577918878
post confirm booking,4000,46,25,114,5,502,0.0,89.58967926894822,677.8255832428104
cancel booking,4000,48,27,117,6,442,0.0,89.5956994064285,601.6608890273267
get logout,4000,37,23,82,3,433,0.0,89.60172035303079,201.4719182608306
TOTAL,44000,34,20,78,1,502,0.0,982.2744117515738,3540.7742640267115
