sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,22,1,329,27.65165777580071,0.0,89.6117570625266,193.96661717017273,2216.4705
post login,4000,31,3,335,34.28261149620898,0.0,89.5876727362315,285.2337205900468,3260.2625
ajax post search,4000,34,5,297,38.62268492738432,0.0,89.59168589154928,365.5186579935382,4177.74375
get view hotel,4000,30,2,317,35.81315177068335,0.0,89.59369260404068,252.89801472976302,2890.4665
post book hotel,4000,36,5,348,39.10789541767749,0.0,89.58365994042687,578.5071302994334,6612.716
ajax post cc number,4000,30,4,378,36.0376261704347,0.0,89.59369260404068,48.18425782824889,550.716
ajax post cc name,4000,30,4,350,34.3067550846404,0.0,89.5876727362315,50.80565914130216,580.716
post booking details,4000,31,4,396,34.77593852076461,0.0,89.5876727362315,296.3641577918878,3387.485
post confirm booking,4000,46,5,502,51.97853253026676,0.0,89.58967926894822,677.8255832428104,7747.4705
cancel booking,4000,48,6,442,51.90150741488632,0.0,89.5956994064285,601.6608890273267,6876.4545
get logout,4000,37,3,433,42.186797963788386,0.0,89.60172035303079,201.4719182608306,2302.492
TOTAL,44000,34,1,502,40.05858167021439,0.0,982.2744117515738,3540.7742640267115,3691.1812045454544
