sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,20000,36,1,757,67.27418356470407,0.0,163.04968123787316,367.4360233813243,2307.6064
post login,20000,93,3,1639,157.46348817344926,0.0,163.03240269003464,575.1826551992052,3612.69925
ajax post search,20000,95,3,3056,163.29729734321234,0.0,163.02974477693454,673.6010933436993,4230.9305
get view hotel,20000,82,2,3050,153.03038660210592,0.0,163.02841585288317,470.95856537286636,2958.14425
post book hotel,20000,88,3,3052,155.85373202329805,0.0,163.02442921071722,1104.513934704131,6937.74715
ajax post cc number,20000,44,2,3160,79.55850249619773,0.0,163.02974477693454,113.13310627195806,710.5961
ajax post cc name,20000,43,2,726,74.55906702313274,0.0,163.02708695049682,114.77489812080715,720.92005
post booking details,20000,46,3,867,75.4705279546261,0.0,163.025758069775,552.9406248726361,3473.1395
post confirm booking,20000,124,4,2201,185.9773224228965,0.0,163.02708695049682,1268.6142385565174,7968.3751
cancel booking,20000,115,4,3119,187.24774270195488,0.0,163.02974477693454,1136.9411646029816,7141.1984
get logout,20000,72,3,3146,110.6502154502647,0.0,163.02841585288317,381.0015233604436,2393.11385
TOTAL,220000,76,1,3160,138.96878742579347,0.0,1791.2392118547468,6751.252873552252,3859.4973227272726
