sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,8000,22,15,44,1,516,0.0,161.20906801007555,362.5236146095718
post login,8000,35,19,82,2,435,0.0,161.17009488889337,567.6976568638314
ajax post search,8000,36,20,86,3,513,0.0,161.14736926919667,665.0476391910403
get view hotel,8000,34,19,80,2,516,0.0,161.1441232752543,464.8252593413234
post book hotel,8000,35,20,82,3,521,0.0,161.1376316796584,1090.9835941748747
ajax post cc number,8000,27,17,58,2,534,0.0,161.14736926919667,111.10355732817662
ajax post cc name,8000,25,17,52,2,426,0.0,161.1441232752543,112.67499244636922
post booking details,8000,27,18,54,3,515,0.0,161.1408774120775,545.8584276678887
post confirm booking,8000,45,23,111,4,518,0.0,161.1441232752543,1253.1158726961426
cancel booking,8000,48,26,115,4,564,0.0,161.15061539391255,1123.018351026328
get logout,8000,37,21,84,3,518,0.0,161.1571080356963,375.9430208899901
TOTAL,88000,34,19,79,1,564,0.0,1767.707203406854,6654.155477255836
