sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,8000,21,15,40,1,354,0.0,166.78480590418212,323.43059406663053
post login,8000,34,18,82,2,473,0.0,166.74656606290515,528.5552680190508
ajax post search,8000,34,19,81,2,479,0.0,166.7569933714095,528.9323383499396
get view hotel,8000,32,18,74,2,437,0.0,166.75351745700885,434.1063053673788
post book hotel,8000,33,19,74,3,497,0.0,166.74656606290515,1010.7382183129417
ajax post cc number,8000,24,16,47,2,466,0.0,166.7569933714095,100.96614833034562
ajax post cc name,8000,24,16,44,1,480,0.0,166.75004168751042,102.59035767883942
post booking details,8000,25,17,48,2,439,0.0,166.74656606290515,479.03161931758973
post confirm booking,8000,43,21,109,4,543,0.0,166.75004168751042,1081.5954852426214
cancel booking,8000,43,22,108,3,573,0.0,166.76046943072146,960.0126633731475
get logout,8000,32,19,67,2,590,0.0,166.76046943072146,337.3903028787026
TOTAL,88000,31,18,69,1,590,0.0,1828.6474243085427,5869.2240294401845
