sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,8000,21,1,354,26.896190341001358,0.0,166.78480590418212,323.43059406663053,1985.75
post login,8000,34,2,473,45.61156681972239,0.0,166.74656606290515,528.5552680190508,3245.8875
ajax post search,8000,34,2,479,45.71530826741054,0.0,166.7569933714095,528.9323383499396,3248.0
get view hotel,8000,32,2,437,44.09677564105453,0.0,166.75351745700885,434.1063053673788,2665.76
post book hotel,8000,33,3,497,44.82222872359205,0.0,166.74656606290515,1010.7382183129417,6207.0
ajax post cc number,8000,24,2,466,32.06453009070147,0.0,166.7569933714095,100.96614833034562,620.0
ajax post cc name,8000,24,1,480,30.755556814734717,0.0,166.75004168751042,102.59035767883942,630.0
post booking details,8000,25,2,439,31.90778688242691,0.0,166.74656606290515,479.03161931758973,2941.76
post confirm booking,8000,43,4,543,55.37161500658527,0.0,166.75004168751042,1081.5954852426214,6642.0
cancel booking,8000,43,3,573,55.414800439503516,0.0,166.76046943072146,960.0126633731475,5895.0
get logout,8000,32,2,590,41.35916389519226,0.0,166.76046943072146,337.3903028787026,2071.76
TOTAL,88000,31,1,590,42.889483754098194,0.0,1828.6474243085427,5869.2240294401845,3286.628863636364
