sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,12000,23,1,428,35.371969088845226,0.0,187.3624057332896,362.9689183334114,1983.75
post login,12000,40,2,516,53.102525550946154,0.0,187.32730763827095,593.4653503020653,3244.1
ajax post search,12000,41,2,522,56.88076721522887,0.0,187.3009926952613,593.729513953924,3246.0
get view hotel,12000,39,2,662,54.527064737512596,0.0,187.3009926952613,487.2313401386028,2663.76
post book hotel,12000,40,3,659,54.851839400941394,0.0,187.29514593413455,1134.9281059778368,6205.0
ajax post cc number,12000,29,2,409,41.27549764960106,0.0,187.3039162127148,113.04084005806422,618.0
ajax post cc name,12000,28,1,426,40.374260755530315,0.0,187.2980692690693,114.86639404392139,628.0
post booking details,12000,29,2,447,39.42196233902775,0.0,187.29514593413455,537.6980255970034,2939.76
post confirm booking,12000,50,3,662,64.5117601616924,0.0,187.2980692690693,1214.510917916621,6640.0
cancel booking,12000,52,3,675,66.80242294320868,0.0,187.30683982143415,1077.9289131520618,5893.0
get logout,12000,41,2,620,53.7712496868809,0.0,187.30976352142355,378.5998595176774,2069.76
TOTAL,132000,37,1,675,52.68137765535513,0.0,2055.9466699894087,6594.786612788924,3284.648181818182
